"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"10",0,1,7,9,5,0,0,6,2,3,1
"11",0,1,NA,27,4,0,0,5,1,3,1
"78",0,0,3,11,2,1,0,4,0,3,0
"252",1,1,10,1,2,1,0,1,3,1,1
"297",0,0,10,15,2,1,0,2,2,1,1
"368",0,0,3,12,2,1,0,2,2,1,0
"395",1,0,10,16,2,1,0,7,3,3,1
"481",0,0,8,21,3,0,0,3,1,3,0
"500",0,0,8,NA,1,1,1,3,1,3,1
"520",1,1,NA,NA,3,1,1,1,3,3,1
"542",0,0,11,1,2,1,0,1,3,1,1
"559",0,0,9,2,2,0,1,1,3,3,1
"587",0,1,11,3,2,1,1,1,3,3,1
"660",0,1,6,18,3,1,1,1,3,2,1
"832",0,0,9,8,3,0,1,3,1,1,0
"841",1,1,5,12,3,1,1,1,3,3,0
"946",0,1,9,17,3,0,0,6,2,3,1
"971",NA,NA,8,24,4,1,1,1,3,2,1
"1009",0,0,5,1,2,1,1,1,3,3,0
"1056",0,0,4,10,3,0,1,1,3,2,1
"1106",NA,NA,8,24,3,0,0,2,2,3,1
"1133",1,1,7,12,4,1,1,1,3,2,1
"1144",0,0,7,NA,4,0,0,1,3,3,1
"1164",0,0,8,1,4,1,0,6,2,0,1
"1283",0,1,3,22,3,0,0,5,1,3,1
"1332",1,1,6,7,2,1,1,3,1,3,1
"1467",1,0,3,21,3,0,1,3,1,3,1
"1487",0,0,9,13,3,1,1,3,1,3,1
"1574",NA,NA,9,NA,2,0,1,3,1,1,1
"1582",0,1,11,13,4,1,0,2,2,1,1
"1723",0,1,3,18,4,0,1,2,2,3,1
"2068",1,0,10,22,3,0,0,5,1,3,1
"2086",1,1,8,20,3,0,0,6,2,2,1
"2105",1,0,5,18,5,1,0,1,3,3,1
"2163",0,1,7,17,3,1,0,7,3,2,1
"2275",1,1,9,18,2,0,0,7,3,3,1
"2312",0,1,13,9,2,0,0,6,2,2,1
"2325",1,1,11,22,4,1,1,3,1,2,1
"2432",0,0,3,1,4,1,0,4,0,1,1
"2456",0,0,1,24,3,0,1,2,2,1,1
"2523",NA,NA,1,12,3,0,1,6,2,3,1
"2564",1,1,9,5,3,0,0,7,3,2,1
"2715",0,0,8,11,2,1,1,1,3,2,1
"2724",0,0,1,15,NA,1,1,1,3,2,0
"2782",0,1,6,14,3,0,1,2,2,1,1
"2786",0,1,6,19,3,0,0,7,3,2,1
"2836",0,1,9,17,4,0,1,4,0,1,1
"2846",1,0,11,12,4,0,1,1,3,2,1
"3009",1,1,9,23,3,0,1,1,3,3,1
"3018",1,1,11,23,4,1,0,6,2,3,1
"3123",1,1,7,20,3,1,1,4,0,4,1
"3167",1,1,12,1,NA,1,0,5,1,3,1
"3174",0,0,8,12,2,0,0,6,2,1,1
"3241",0,1,12,22,5,1,1,3,1,3,1
"3295",1,0,11,5,4,0,1,1,3,3,1
"3350",1,1,7,8,1,0,0,1,3,4,1
"3444",0,0,11,27,5,0,0,2,2,3,1
"3487",0,0,12,26,5,0,0,5,1,2,0
"3507",1,1,9,9,5,0,1,4,0,4,1
"3526",1,1,13,9,2,1,0,7,3,2,1
"3575",0,0,10,12,2,0,1,2,2,2,1
"3592",0,0,11,17,3,0,0,7,3,4,1
"3624",1,1,6,21,NA,0,1,1,3,3,1
"3658",1,1,12,15,3,0,0,7,3,4,1
"3791",1,1,10,20,3,0,1,1,3,4,1
"3838",0,1,8,20,3,0,0,6,2,3,1
"3995",1,1,7,27,5,0,0,7,3,3,1
"4112",NA,NA,11,20,4,0,0,5,1,4,1
"4149",0,0,10,11,2,0,0,1,3,1,0
"4239",0,1,6,9,1,0,0,3,1,3,1
"4246",1,0,3,4,3,1,1,1,3,2,1
"4280",1,1,9,1,2,1,1,1,3,2,1
"4310",0,0,4,10,1,0,1,1,3,2,1
"4311",0,1,8,9,NA,1,0,3,1,3,1
"4540",1,1,11,12,2,1,1,1,3,3,1
"4565",0,1,5,27,4,1,0,7,3,2,1
"4669",1,0,5,22,4,0,0,2,2,2,1
"4694",NA,0,3,NA,3,1,NA,4,0,1,1
"4698",1,1,4,1,5,1,0,7,3,1,1
"4706",1,0,11,20,2,0,0,7,3,4,1
"4797",0,0,3,NA,5,1,0,6,2,1,1
"4821",0,0,9,26,4,1,1,4,0,4,1
"4862",0,0,6,12,3,1,0,5,1,1,1
"4871",1,0,7,NA,3,1,0,5,1,4,1
"4888",1,1,13,22,5,1,0,7,3,4,1
"4921",NA,NA,9,NA,2,0,0,7,3,3,1
"4940",1,0,2,NA,3,0,1,6,2,0,0
"5020",1,1,12,4,4,1,0,2,2,2,1
"5062",NA,NA,10,26,3,0,1,1,3,3,1
"5184",0,1,2,1,2,0,1,4,0,2,1
"5248",0,0,6,21,4,0,0,6,2,3,1
"5277",1,0,5,1,5,0,0,4,0,1,0
"5340",0,1,10,24,4,0,0,5,1,3,1
"5425",0,0,4,11,2,1,1,3,1,2,0
"5498",1,1,11,14,5,1,0,1,3,4,1
"5513",0,1,9,14,5,0,0,4,0,3,1
"5550",0,1,13,9,5,0,0,4,0,3,1
"5625",1,1,11,20,3,0,0,7,3,4,1
"5853",1,0,9,14,5,1,0,6,2,4,1
"5871",0,1,6,13,4,1,0,3,1,1,1
