"persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
0,1,9,27,3,1,0,6,2,1,1
0,1,6,1,2,0,0,5,1,1,0
1,1,12,22,5,0,0,7,3,3,1
0,0,5,11,4,1,0,6,2,1,1
NA,NA,10,19,2,0,0,3,1,4,1
1,1,6,3,3,0,0,6,2,4,0
NA,NA,9,2,1,1,0,2,2,1,0
1,1,NA,NA,3,1,1,1,3,3,1
0,0,6,9,1,1,1,1,3,1,1
NA,NA,NA,14,2,0,1,3,1,2,1
0,0,4,NA,3,1,1,2,2,1,0
NA,NA,3,NA,4,1,0,5,1,3,1
1,0,8,16,3,0,1,1,3,4,1
0,0,9,5,3,0,1,1,3,3,1
0,0,5,13,4,0,0,1,3,1,1
0,0,8,11,5,1,0,NA,NA,4,1
0,1,5,NA,3,1,1,2,2,3,1
1,0,11,2,4,1,0,1,3,1,1
0,0,1,3,3,1,1,2,2,2,0
0,0,3,7,3,0,0,5,1,3,NA
0,0,3,NA,2,0,0,7,3,1,0
0,0,5,24,3,1,1,2,2,2,1
1,0,9,11,2,1,1,1,3,4,1
1,0,8,22,5,1,1,1,3,3,1
1,0,11,26,5,0,0,5,1,4,1
0,0,4,NA,1,0,1,3,1,0,0
1,0,4,15,4,0,1,6,2,3,0
0,0,4,17,3,0,1,7,3,3,1
1,0,7,7,3,1,0,7,3,4,1
0,1,8,NA,2,0,0,5,1,4,1
1,1,13,NA,5,1,0,5,1,4,1
0,0,3,3,2,1,1,1,3,4,1
1,0,2,10,4,1,0,2,2,2,0
1,0,10,22,3,0,0,5,1,3,1
1,0,10,1,3,0,1,2,2,3,1
1,0,11,18,5,0,1,7,3,2,1
0,0,8,1,2,0,0,4,0,3,1
1,1,8,28,2,1,0,7,3,3,1
1,1,12,25,4,0,0,7,3,4,1
1,0,7,25,2,0,0,6,2,3,0
1,1,9,24,3,0,0,6,2,4,1
0,1,8,18,5,0,1,3,1,2,1
0,1,7,21,3,0,1,1,3,1,1
0,0,9,2,3,1,0,3,1,3,1
0,0,5,NA,4,1,1,2,2,3,1
0,1,10,17,4,1,0,2,2,1,1
1,1,8,1,2,1,1,7,3,3,1
1,1,12,11,3,0,0,5,1,3,1
1,0,10,NA,3,1,0,1,3,3,1
0,1,9,15,4,1,0,7,3,3,1
1,1,9,26,4,0,0,5,1,4,1
1,1,10,20,5,0,0,3,1,3,0
0,0,13,1,1,1,0,1,3,1,1
0,0,3,9,2,0,0,6,2,1,0
0,0,10,15,2,0,1,1,3,1,1
1,1,12,1,3,1,1,1,3,3,1
1,0,11,13,3,0,1,1,3,4,1
1,1,10,27,4,0,0,6,2,3,1
1,1,9,1,2,0,0,6,2,3,1
0,1,4,13,2,1,0,6,2,2,0
1,1,13,12,3,0,0,1,3,3,1
0,0,8,13,4,0,0,3,1,3,1
0,1,13,1,1,1,1,1,3,2,1
NA,NA,4,16,4,0,1,1,3,4,1
1,1,11,3,1,1,1,1,3,3,1
1,1,12,1,3,0,1,7,3,4,1
0,1,7,14,3,0,0,5,1,4,1
0,0,1,9,1,1,0,4,0,1,0
0,0,4,24,5,1,1,2,2,1,1
0,0,4,11,3,1,0,4,0,1,0
1,0,9,1,3,0,0,7,3,2,1
0,0,8,7,1,0,1,4,0,2,1
NA,NA,2,15,4,1,1,3,1,2,0
1,1,9,21,4,0,0,5,1,3,1
0,0,4,22,4,1,1,2,2,2,1
0,0,5,NA,2,1,0,4,0,1,0
0,0,10,18,1,0,0,7,3,1,1
NA,NA,12,7,2,1,0,3,1,1,1
1,0,11,19,5,1,0,5,1,2,1
0,1,11,3,2,0,0,5,1,4,1
0,0,4,23,3,0,0,6,2,1,0
0,0,11,12,2,0,1,3,1,2,0
0,1,8,1,1,1,1,1,3,1,1
1,1,11,9,3,1,0,7,3,4,1
1,1,9,5,3,0,0,5,1,3,1
0,1,4,NA,4,1,1,1,3,3,1
NA,NA,6,18,3,0,1,1,3,3,1
0,0,3,21,4,1,1,2,2,2,0
0,1,9,NA,NA,1,0,1,3,3,1
0,1,13,13,2,1,0,6,2,3,1
1,1,6,2,3,1,1,3,1,4,1
0,0,8,19,3,1,0,5,1,1,1
NA,NA,7,27,4,1,0,1,3,3,1
0,0,7,25,5,0,0,2,2,3,1
NA,NA,10,18,2,1,0,5,1,2,1
NA,NA,9,24,4,0,0,1,3,3,1
0,0,7,24,4,0,0,6,2,3,1
0,0,2,16,2,1,0,7,3,1,1
0,0,5,14,3,0,0,4,0,1,0
1,0,9,20,4,0,1,4,0,3,1
