"persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
0,1,5,13,2,0,1,3,1,3,1
0,0,2,NA,3,0,0,5,1,2,0
1,1,4,NA,3,0,1,3,1,2,0
1,0,4,14,3,1,1,2,2,3,1
1,1,7,25,4,1,0,1,3,4,1
NA,NA,11,15,2,1,1,1,3,3,1
0,0,4,14,4,1,1,4,0,3,0
1,0,5,NA,3,0,1,4,0,2,0
0,0,1,NA,3,1,1,3,1,0,0
0,0,4,15,4,1,1,NA,NA,2,1
0,1,10,16,5,1,0,5,1,4,1
0,0,3,7,5,0,1,3,1,2,1
0,1,9,7,1,0,0,6,2,3,1
0,0,8,11,1,0,0,2,2,2,0
1,1,11,15,4,0,0,7,3,4,1
1,0,11,1,3,1,1,7,3,3,0
0,0,NA,12,4,1,1,1,3,4,1
0,0,4,7,2,1,1,NA,NA,2,0
1,1,9,20,1,1,1,1,3,2,1
0,1,10,15,2,1,0,5,1,4,0
0,0,2,NA,3,0,0,6,2,4,0
1,0,11,2,3,1,1,7,3,3,1
0,1,13,21,4,1,0,5,1,2,1
1,1,12,12,2,1,0,7,3,3,1
1,0,6,1,2,0,1,3,1,1,NA
0,0,10,NA,1,0,1,1,3,3,1
0,1,6,23,4,1,1,7,3,4,1
0,0,1,26,3,0,0,7,3,3,0
1,0,4,17,3,1,0,3,1,2,1
0,0,3,2,2,0,0,5,1,1,0
1,0,10,9,3,0,0,4,0,4,1
0,1,11,27,4,0,0,4,0,1,1
0,1,10,12,3,1,1,1,3,1,1
1,0,5,24,4,1,0,6,2,2,1
1,1,11,15,4,0,0,5,1,4,1
0,0,8,27,5,0,1,2,2,2,1
0,0,4,20,4,0,0,4,0,1,1
1,0,6,22,4,1,0,1,3,3,1
NA,NA,10,2,4,1,1,3,1,2,1
0,0,9,15,3,0,1,1,3,3,1
1,1,9,2,4,0,1,1,3,4,1
0,0,6,23,4,1,0,7,3,2,1
1,1,3,7,2,0,0,6,2,2,1
1,1,9,26,5,0,0,7,3,4,1
1,1,4,13,3,0,0,2,2,3,1
0,0,9,16,4,1,0,6,2,2,1
1,1,10,15,2,0,0,3,1,4,1
1,0,10,11,3,0,1,3,1,3,1
1,0,6,11,3,0,0,7,3,4,1
1,1,13,17,2,0,0,7,3,3,1
0,1,13,20,5,0,0,1,3,4,1
1,1,9,28,3,0,0,7,3,4,1
1,1,10,26,5,0,0,7,3,4,1
1,1,10,12,3,0,0,6,2,1,1
NA,NA,9,7,1,1,1,1,3,4,1
1,0,5,1,2,0,0,1,3,1,0
0,1,13,16,2,1,0,6,2,2,1
0,1,10,NA,3,0,0,3,1,3,1
NA,NA,10,24,4,1,0,4,0,3,1
0,1,11,9,4,0,0,5,1,2,1
1,0,11,23,4,0,0,1,3,4,1
0,1,7,18,1,0,1,1,3,3,1
0,0,4,26,4,0,0,6,2,3,1
0,0,8,17,4,1,0,2,2,3,1
NA,NA,9,11,3,1,0,6,2,2,1
0,1,11,21,3,1,0,1,3,3,1
1,0,12,3,2,0,0,2,2,2,1
1,0,3,15,NA,1,0,7,3,2,1
1,0,3,1,3,0,0,3,1,3,1
0,0,8,7,1,0,1,4,0,2,1
1,1,9,1,2,1,1,1,3,2,1
0,1,7,1,2,0,1,1,3,4,0
0,1,7,22,2,1,1,1,3,2,1
1,1,4,7,3,0,0,1,3,4,1
0,1,13,14,5,0,0,6,2,3,1
0,0,6,12,5,1,0,7,3,2,1
0,0,13,12,5,0,0,6,2,4,1
0,0,9,27,5,0,0,4,0,1,0
NA,NA,7,1,3,1,1,4,0,0,1
1,0,11,20,2,0,0,7,3,4,1
1,1,6,21,3,1,0,4,0,3,1
0,1,6,25,5,1,0,2,2,1,1
1,0,9,25,4,1,0,7,3,3,1
0,0,6,12,3,1,0,5,1,1,1
0,1,11,5,3,1,1,1,3,3,1
1,0,1,28,3,1,1,3,1,2,1
0,0,6,21,2,1,0,6,2,1,0
1,1,12,11,5,1,1,1,3,4,1
0,1,9,1,1,1,1,1,3,2,0
1,0,1,1,3,0,1,4,0,3,0
0,0,5,24,3,0,0,4,0,1,0
1,1,4,18,4,1,0,7,3,3,1
0,0,3,17,3,0,0,6,2,1,1
1,1,10,19,3,1,0,7,3,3,1
0,0,6,8,4,0,0,6,2,3,1
1,0,3,2,1,1,1,1,3,3,1
0,0,8,12,3,1,1,1,3,3,1
0,0,7,NA,4,1,0,7,3,2,0
0,1,8,15,2,0,1,7,3,1,1
0,1,4,13,3,1,0,7,3,3,1
