"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"15",1,1,9,25,4,1,0,7,3,4,1
"66",0,1,1,9,2,1,1,4,0,4,0
"70",1,0,9,NA,3,1,1,2,2,1,1
"71",1,1,4,NA,3,0,1,3,1,2,0
"96",1,0,7,25,3,1,1,1,3,4,0
"181",0,0,9,NA,4,0,0,7,3,3,1
"201",NA,NA,4,19,5,1,0,6,2,1,1
"271",0,1,8,17,2,1,0,6,2,1,1
"340",1,0,4,28,5,0,0,2,2,3,1
"390",1,1,13,8,4,1,0,4,0,3,1
"432",1,0,12,NA,1,0,0,7,3,3,0
"573",1,1,5,13,3,1,1,1,3,4,1
"586",1,0,1,19,2,0,1,3,1,1,0
"635",NA,NA,12,NA,1,0,1,2,2,3,0
"649",0,0,7,NA,3,0,1,2,2,4,1
"709",0,0,NA,5,2,1,1,4,0,2,NA
"767",1,1,11,1,3,0,1,1,3,4,1
"770",0,0,1,11,2,1,1,5,1,0,0
"1000",1,0,8,7,3,1,1,1,3,4,1
"1057",0,1,2,9,3,0,1,3,1,1,0
"1068",1,0,7,5,3,1,1,1,3,1,1
"1084",0,0,12,2,3,1,0,4,0,3,0
"1206",1,1,6,1,1,1,1,1,3,3,1
"1211",1,1,9,3,1,1,1,1,3,4,0
"1299",0,0,5,7,2,1,1,5,1,1,NA
"1306",1,0,9,7,1,1,1,1,3,3,1
"1359",1,1,12,1,3,1,1,1,3,4,1
"1378",1,0,9,NA,2,1,1,1,3,3,1
"1665",0,0,9,15,3,1,1,1,3,4,1
"1739",0,1,7,8,1,1,1,5,1,2,1
"1756",0,0,5,20,3,1,1,1,3,3,1
"1762",0,0,1,1,2,1,1,5,1,1,0
"1787",1,1,7,8,2,1,1,1,3,4,1
"2027",1,0,9,NA,2,0,1,4,0,1,1
"2216",0,0,4,NA,2,1,0,2,2,2,1
"2221",0,0,8,27,5,0,1,2,2,2,1
"2238",1,0,4,11,3,1,0,6,2,1,1
"2264",1,0,7,10,3,1,0,2,2,2,1
"2322",1,0,10,23,4,0,0,5,1,4,1
"2342",0,1,10,16,4,1,0,1,3,2,1
"2365",0,0,2,NA,4,1,0,4,0,1,1
"2469",0,0,5,8,2,0,1,1,3,1,1
"2573",1,0,9,27,5,1,0,1,3,4,1
"2590",1,1,11,20,4,0,0,5,1,2,1
"2706",NA,NA,13,14,4,1,0,7,3,3,1
"2734",0,0,11,1,3,0,0,2,2,3,1
"2741",1,1,10,17,2,0,0,4,0,3,1
"2861",1,1,13,6,2,1,0,7,3,4,1
"2915",1,1,8,15,4,1,0,5,1,3,1
"2922",0,1,5,1,5,1,1,1,3,2,1
"2929",1,1,11,25,5,0,0,6,2,3,1
"3079",1,1,11,1,3,0,0,4,0,4,1
"3130",0,1,10,1,2,0,1,2,2,2,1
"3248",0,0,10,11,4,1,1,1,3,1,1
"3281",1,1,8,12,4,0,0,7,3,1,1
"3296",1,1,8,13,4,0,0,5,1,4,1
"3427",0,0,6,18,5,0,0,3,1,3,1
"3460",1,1,10,27,4,0,0,6,2,3,1
"3495",0,0,11,14,3,1,0,4,0,3,1
"3563",0,1,8,16,2,0,0,7,3,3,1
"3714",0,0,7,23,4,0,1,3,1,0,0
"3738",1,0,6,23,4,0,0,4,0,4,1
"3805",0,1,8,25,3,0,0,7,3,3,1
"3856",1,0,5,12,3,0,0,6,2,3,1
"3883",1,1,11,9,2,0,0,7,3,4,1
"3913",0,1,8,NA,4,1,0,2,2,1,1
"3960",1,0,13,NA,3,1,0,7,3,4,1
"4000",0,1,5,11,3,1,1,1,3,2,1
"4097",0,0,2,14,2,1,1,6,2,4,1
"4214",1,1,6,1,1,0,1,1,3,4,0
"4240",0,0,11,15,4,0,1,3,1,3,1
"4249",1,1,11,22,4,0,1,2,2,1,1
"4304",0,0,8,1,2,1,0,4,0,1,0
"4362",1,1,7,16,3,0,0,2,2,3,1
"4404",0,0,4,15,3,0,0,2,2,3,1
"4415",0,1,10,22,3,1,0,2,2,2,1
"4489",0,0,12,9,1,0,1,2,2,4,1
"4510",0,0,9,4,1,1,1,1,3,2,1
"4513",1,1,9,1,3,0,0,2,2,2,1
"4524",1,1,6,22,2,1,0,6,2,2,1
"4585",0,0,8,15,4,1,0,4,0,3,1
"4636",1,1,7,12,3,0,1,1,3,4,1
"4660",0,1,5,25,4,1,0,4,0,3,1
"4751",NA,NA,1,2,3,0,1,3,1,1,0
"4966",1,0,6,12,1,1,1,4,0,1,0
"5154",1,1,10,13,2,1,1,1,3,3,1
"5163",1,0,5,25,4,0,0,4,0,3,1
"5186",0,1,7,12,2,0,1,3,1,3,1
"5189",1,1,9,13,3,0,0,1,3,3,1
"5244",1,0,7,5,1,0,1,1,3,3,1
"5331",1,1,8,15,5,1,1,7,3,4,1
"5388",0,0,11,13,3,0,0,2,2,1,1
"5392",1,0,8,10,3,1,1,4,0,3,1
"5505",0,1,5,22,4,0,0,5,1,3,1
"5583",NA,NA,2,NA,3,0,NA,4,0,1,0
"5644",0,0,8,27,4,0,0,6,2,2,1
"5667",0,0,5,19,3,1,1,6,2,1,1
"5733",1,0,3,20,4,1,0,2,2,3,1
"5739",1,0,3,13,3,0,0,5,1,4,1
"5792",0,0,1,1,3,0,0,2,2,0,0
