"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"9",0,0,2,NA,4,1,1,1,3,1,1
"187",0,1,11,NA,2,0,0,2,2,2,1
"192",0,1,4,13,4,1,0,2,2,3,1
"315",0,0,12,10,4,1,0,3,1,2,1
"395",1,0,10,16,2,1,0,7,3,3,1
"587",0,1,11,3,2,1,1,1,3,3,1
"608",0,0,9,NA,1,1,1,1,3,3,1
"671",1,1,8,19,3,0,1,7,3,4,1
"730",0,0,8,26,2,0,1,5,1,2,1
"819",1,0,12,9,3,1,1,1,3,3,1
"828",1,1,12,13,4,0,0,6,2,4,1
"898",1,1,11,9,3,1,0,1,3,3,1
"902",0,0,5,9,4,1,0,7,3,1,0
"928",0,0,3,1,3,1,1,4,0,1,0
"968",0,0,11,9,1,1,0,4,0,3,1
"1019",0,0,8,21,3,1,1,1,3,3,1
"1030",1,0,3,NA,4,0,1,3,1,2,1
"1069",1,0,9,9,3,1,1,1,3,3,1
"1084",0,0,12,2,3,1,0,4,0,3,0
"1237",0,0,5,11,3,1,1,6,2,3,1
"1305",0,1,11,18,2,1,1,1,3,1,1
"1333",0,0,5,11,3,1,1,1,3,3,1
"1354",0,0,2,10,3,0,1,1,3,1,1
"1360",0,0,1,NA,3,1,1,3,1,2,0
"1384",1,1,11,15,4,0,0,7,3,4,1
"1464",1,0,5,NA,2,0,1,2,2,1,1
"1478",0,0,6,1,2,1,1,4,0,1,1
"1558",NA,NA,13,11,3,1,0,NA,NA,4,1
"1620",1,0,8,7,4,1,0,2,2,3,0
"1689",0,0,5,5,2,0,1,3,1,4,0
"1717",0,1,13,4,1,0,1,2,2,1,0
"1742",1,0,1,7,3,0,1,4,0,2,0
"1819",0,0,1,7,2,0,1,2,2,1,0
"2108",1,1,13,16,3,0,0,7,3,1,1
"2146",1,0,2,2,3,1,0,1,3,3,0
"2207",0,1,12,24,5,0,0,1,3,3,1
"2335",0,1,9,27,4,1,0,5,1,3,1
"2457",0,1,11,3,3,0,0,1,3,2,1
"2472",0,1,10,3,2,1,0,2,2,0,1
"2502",0,0,7,16,4,1,0,5,1,2,1
"2523",NA,NA,1,12,3,0,1,6,2,3,1
"2591",0,1,6,8,3,0,0,4,0,3,1
"2606",0,0,9,1,2,1,0,1,3,2,1
"2627",1,1,9,27,4,0,1,2,2,3,1
"2634",0,1,3,17,3,0,1,1,3,3,1
"2641",1,1,8,28,5,0,1,6,2,3,1
"2643",1,0,13,25,5,0,0,1,3,3,1
"2745",1,1,9,15,3,0,1,3,1,2,1
"2798",0,0,9,21,3,0,0,3,1,2,1
"2853",0,1,2,17,2,1,0,7,3,1,1
"2955",0,0,8,16,2,0,0,7,3,3,1
"3033",0,1,13,12,3,1,0,6,2,3,1
"3094",0,1,10,23,5,1,1,5,1,3,1
"3153",1,1,11,15,2,0,0,7,3,3,1
"3182",0,0,11,22,5,0,0,7,3,3,1
"3264",1,1,11,21,5,0,0,7,3,4,1
"3273",1,1,13,17,5,0,0,2,2,3,1
"3400",1,1,10,21,3,0,1,1,3,4,1
"3488",1,1,11,9,5,0,1,3,1,4,1
"3497",1,1,4,NA,4,1,NA,4,0,1,1
"3507",1,1,9,9,5,0,1,4,0,4,1
"3511",0,0,6,17,4,1,1,1,3,3,1
"3512",1,1,8,25,3,1,1,4,0,1,1
"3598",0,1,10,26,3,0,0,7,3,4,1
"3626",1,1,10,NA,4,1,0,7,3,4,1
"3633",0,0,4,23,4,0,0,2,2,3,1
"3645",0,1,10,1,4,0,0,3,1,3,1
"3756",0,0,8,NA,5,0,0,6,2,3,1
"3798",1,1,8,12,4,1,0,6,2,1,1
"3816",NA,NA,6,1,4,1,0,7,3,3,1
"4068",0,1,13,4,3,1,0,1,3,3,1
"4109",1,1,2,2,3,0,0,6,2,3,0
"4133",0,0,4,11,3,1,0,4,0,1,0
"4185",0,0,3,1,3,0,1,3,1,1,1
"4367",0,1,13,14,5,0,0,6,2,3,1
"4489",0,0,12,9,1,0,1,2,2,4,1
"4548",1,0,4,13,4,1,0,4,0,2,1
"4577",0,0,4,3,2,1,1,1,3,1,1
"4655",1,1,8,1,2,1,1,1,3,3,1
"4701",0,0,9,20,2,1,0,3,1,1,1
"4720",0,0,8,20,2,0,1,1,3,2,1
"4809",0,0,6,17,3,1,1,7,3,3,1
"4812",0,0,10,19,2,0,0,6,2,3,0
"4972",0,0,3,11,2,0,1,1,3,3,1
"5005",0,0,6,6,3,1,0,1,3,1,1
"5072",NA,NA,4,7,3,1,0,4,0,1,0
"5074",0,1,1,13,1,1,1,2,2,2,0
"5090",0,1,7,22,3,0,0,5,1,3,1
"5094",0,1,4,26,4,1,0,6,2,3,1
"5115",1,1,9,12,5,1,0,7,3,3,1
"5219",0,1,10,11,2,1,0,6,2,1,1
"5265",0,0,7,3,3,0,1,3,1,1,1
"5320",1,1,11,22,3,0,0,1,3,1,1
"5378",0,0,4,11,2,1,1,5,1,0,0
"5433",NA,NA,6,23,4,1,0,7,3,2,1
"5721",0,1,11,11,2,1,0,2,2,2,1
"5758",0,1,8,20,2,0,0,7,3,3,0
"5800",1,0,3,13,3,1,0,7,3,3,1
"5815",1,1,12,15,3,0,1,7,3,4,1
"5880",0,0,3,14,4,0,1,2,2,3,1
