"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"241",0,1,7,11,1,1,0,4,0,1,1
"256",1,1,7,16,3,1,0,6,2,3,1
"470",1,1,7,21,4,1,0,3,1,3,1
"492",0,0,6,NA,1,1,1,4,0,1,0
"558",1,0,1,1,2,0,1,3,1,1,0
"583",0,0,5,11,3,1,1,3,1,1,1
"719",0,0,10,19,4,1,0,5,1,3,1
"744",0,1,7,12,2,0,1,2,2,2,0
"797",0,0,2,NA,2,1,1,5,1,2,0
"884",0,0,8,NA,3,1,1,4,0,1,1
"918",0,0,5,13,4,0,0,1,3,1,1
"921",0,1,9,7,2,1,0,NA,NA,1,0
"1022",0,0,2,9,2,1,1,4,0,1,0
"1158",0,0,9,20,5,1,0,3,1,3,1
"1282",1,1,6,13,2,0,0,1,3,4,1
"1347",0,0,7,10,2,0,1,1,3,3,1
"1437",0,0,4,22,4,1,1,2,2,3,0
"1440",1,0,8,NA,4,1,1,1,3,3,1
"1493",NA,NA,10,18,3,0,0,1,3,3,1
"1521",1,0,3,15,1,0,1,1,3,3,1
"1550",0,1,7,NA,4,1,1,1,3,4,1
"1597",0,0,1,9,2,0,1,5,1,2,0
"1628",0,0,9,21,4,1,1,5,1,2,1
"1636",0,1,6,16,2,1,0,2,2,1,1
"1648",0,0,6,22,2,1,1,2,2,1,1
"1708",0,0,13,4,2,1,0,4,0,0,0
"1730",1,0,9,5,4,1,0,1,3,4,1
"1863",0,0,3,5,2,0,0,3,1,1,1
"1873",0,0,6,NA,2,0,1,3,1,2,1
"1947",0,0,4,17,5,1,1,3,1,1,1
"2011",0,0,3,1,3,0,0,3,1,2,1
"2216",0,0,4,NA,2,1,0,2,2,2,1
"2434",1,1,13,1,3,1,0,7,3,4,1
"2483",1,1,7,18,2,0,0,2,2,3,1
"2505",0,0,4,24,4,0,0,4,0,4,1
"2510",0,1,11,28,3,1,0,7,3,1,1
"2543",0,1,4,17,3,1,0,6,2,3,0
"2562",0,0,7,15,2,0,0,2,2,1,0
"2579",0,1,13,8,2,1,0,3,1,1,1
"2601",1,1,11,21,5,1,1,3,1,4,1
"2670",0,1,12,1,2,1,0,6,2,3,1
"2687",0,1,12,19,3,0,1,2,2,1,1
"2776",0,0,13,7,3,1,0,1,3,0,1
"2812",0,1,12,16,4,0,1,7,3,4,1
"2913",NA,NA,7,24,4,0,0,3,1,1,1
"2943",1,1,10,23,3,0,0,6,2,2,1
"2946",0,0,8,28,5,0,0,6,2,3,0
"2949",1,1,10,21,4,0,0,7,3,4,1
"2950",0,0,6,9,2,0,0,5,1,3,1
"2974",1,1,7,27,5,0,0,1,3,4,0
"3197",0,0,8,18,4,0,1,4,0,3,1
"3225",1,1,10,15,1,1,0,7,3,3,1
"3287",1,1,13,22,3,0,0,2,2,4,1
"3324",1,0,11,24,4,0,0,6,2,4,1
"3333",0,1,10,26,3,0,1,1,3,3,1
"3439",NA,NA,4,15,2,1,0,4,0,2,0
"3448",0,1,5,2,2,0,0,1,3,2,1
"3521",0,0,10,16,3,0,1,7,3,1,0
"3575",0,0,10,12,2,0,1,2,2,2,1
"3633",0,0,4,23,4,0,0,2,2,3,1
"3651",0,0,11,1,3,0,0,7,3,4,0
"3680",0,0,12,1,1,0,1,1,3,4,1
"3687",0,1,13,20,3,1,0,5,1,2,1
"3879",0,0,4,21,4,1,1,2,2,1,1
"4052",1,0,3,15,NA,1,0,7,3,2,1
"4057",1,0,11,9,3,0,0,2,2,1,0
"4199",0,0,9,1,3,1,1,1,3,3,1
"4255",0,0,9,26,4,0,0,5,1,1,1
"4275",1,1,11,2,3,1,1,1,3,2,1
"4458",0,0,7,25,4,0,0,1,3,1,1
"4466",0,0,5,24,5,0,0,4,0,1,1
"4472",0,1,10,20,5,1,0,3,1,3,1
"4478",0,0,10,14,3,0,1,4,0,1,1
"4528",1,0,7,24,4,1,0,7,3,2,1
"4593",0,1,10,2,2,1,0,4,0,2,1
"4605",0,0,12,14,3,1,0,2,2,2,1
"4657",0,0,4,7,3,1,1,1,3,4,1
"4670",0,0,1,NA,2,1,1,4,0,1,0
"4723",1,1,10,14,2,1,0,7,3,4,1
"4857",1,0,11,13,2,1,1,6,2,3,1
"4920",1,1,2,22,3,0,0,7,3,4,0
"4929",1,0,7,27,3,1,0,2,2,3,1
"4939",NA,NA,13,10,2,1,0,2,2,1,1
"5021",1,1,7,17,1,1,0,2,2,3,0
"5031",1,1,13,21,4,0,0,7,3,4,1
"5064",1,0,13,21,4,0,0,7,3,3,1
"5261",NA,NA,12,12,2,1,0,6,2,3,1
"5273",1,0,4,13,3,0,0,5,1,2,1
"5307",0,0,6,13,4,0,1,1,3,3,1
"5335",1,0,1,NA,3,0,1,4,0,NA,0
"5359",0,0,3,23,3,1,0,4,0,0,0
"5374",1,0,5,27,4,0,0,2,2,2,1
"5380",0,0,6,13,2,0,1,3,1,1,0
"5389",1,0,11,15,4,1,0,1,3,3,1
"5399",1,0,9,22,4,1,0,7,3,3,1
"5459",0,1,9,27,5,1,0,3,1,3,1
"5576",1,1,9,11,5,0,0,3,1,3,0
"5654",NA,NA,6,23,4,1,0,4,0,1,1
"5814",NA,NA,3,19,3,1,1,1,3,2,0
"5878",0,0,3,13,1,1,1,6,2,3,0
