"persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
0,1,7,21,3,1,0,5,1,3,1
0,1,2,5,3,0,1,1,3,2,1
0,0,11,3,1,0,1,3,1,1,1
0,1,10,1,2,0,0,4,0,1,0
1,0,9,3,2,0,0,7,3,1,1
1,0,4,5,2,1,0,1,3,2,1
0,0,8,NA,1,1,1,3,1,3,1
1,0,5,5,3,0,1,3,1,4,1
NA,NA,5,2,2,0,1,4,0,3,NA
0,0,2,NA,2,0,1,5,1,1,0
0,0,5,6,2,1,1,4,0,3,0
1,0,3,NA,3,1,1,1,3,2,1
1,1,11,20,2,1,0,7,3,1,1
NA,NA,3,1,1,1,1,3,1,1,0
0,0,1,15,1,0,1,3,1,2,0
1,0,8,7,4,1,1,1,3,4,1
1,0,8,NA,1,1,1,1,3,1,1
1,1,6,23,5,1,1,1,3,4,1
1,0,12,9,2,0,0,6,2,1,1
0,0,8,4,1,0,0,1,3,3,1
0,0,13,NA,2,1,0,3,1,3,1
0,0,8,NA,1,1,0,4,0,4,1
0,1,3,12,1,0,1,3,1,3,1
0,0,8,21,3,1,0,5,1,3,1
1,0,7,2,3,1,1,1,3,4,1
0,0,2,22,2,0,0,1,3,4,1
0,0,2,12,3,1,0,6,2,1,1
0,0,6,27,4,0,1,6,2,1,0
1,1,8,NA,2,1,1,1,3,1,1
0,0,5,13,5,0,0,5,1,4,0
0,0,4,15,4,0,0,5,1,2,1
0,0,2,1,3,1,1,2,2,1,1
0,0,8,3,2,0,1,2,2,3,1
1,1,11,NA,3,1,0,5,1,4,1
1,0,11,9,3,1,0,2,2,1,0
1,1,6,20,3,0,0,6,2,4,1
1,1,8,20,3,0,0,6,2,2,1
1,0,5,18,5,1,0,1,3,3,1
0,1,7,17,3,1,0,7,3,2,1
0,0,4,NA,2,1,0,2,2,2,1
NA,NA,11,27,5,0,0,1,3,3,1
1,1,11,15,5,0,1,5,1,2,1
1,1,10,12,3,0,NA,6,2,3,1
0,1,10,7,3,0,1,4,0,2,1
0,1,11,1,1,1,0,5,1,4,1
0,1,8,24,5,1,0,3,1,4,1
0,0,5,10,2,0,0,5,1,3,1
0,0,10,9,3,1,0,5,1,3,1
0,0,10,1,3,1,0,7,3,1,1
1,1,13,14,3,1,0,5,1,4,1
0,0,9,2,3,1,1,2,2,2,1
0,1,11,22,3,0,0,3,1,4,1
1,0,8,16,3,0,0,1,3,1,1
0,0,3,13,2,0,1,3,1,1,0
NA,NA,6,21,4,0,0,1,3,4,1
0,0,5,15,4,1,0,7,3,0,1
0,1,6,25,5,0,0,3,1,4,1
1,0,6,7,4,0,1,2,2,3,1
1,0,4,11,3,0,1,2,2,2,1
0,1,10,27,5,0,0,3,1,3,1
0,1,1,1,3,0,1,2,2,0,0
0,0,8,13,5,1,0,6,2,2,1
1,1,7,23,4,0,0,7,3,1,1
0,1,8,NA,2,0,0,7,3,3,1
1,1,8,21,3,1,0,6,2,2,1
0,1,12,15,1,1,0,4,0,1,1
1,1,8,25,3,1,0,6,2,2,1
0,0,3,21,3,0,0,3,1,1,0
1,0,1,1,2,1,1,2,2,1,0
1,0,13,NA,1,0,0,5,1,2,1
0,1,13,21,3,0,0,7,3,3,1
NA,NA,12,17,4,0,1,4,0,3,0
1,1,5,9,1,1,1,3,1,4,1
0,0,6,23,4,0,0,4,0,1,0
0,1,9,12,2,1,0,4,0,4,1
0,0,5,24,5,0,0,4,0,1,1
1,0,5,24,3,1,0,5,1,3,1
1,0,9,5,5,0,1,1,3,2,1
1,1,11,13,3,0,1,1,3,4,1
0,1,1,NA,1,0,0,4,0,2,0
1,0,3,8,3,0,1,1,3,2,1
NA,NA,3,8,2,1,1,1,3,1,0
1,0,2,1,2,0,0,6,2,3,1
1,0,2,23,2,0,1,2,2,4,1
0,0,5,NA,3,0,0,NA,NA,4,1
0,0,8,12,2,1,1,2,2,3,0
0,0,9,15,2,1,1,7,3,2,1
1,1,9,20,3,0,0,4,0,3,1
0,0,9,3,1,0,1,4,0,1,1
0,1,13,9,3,1,0,3,1,3,1
0,0,11,1,2,1,1,1,3,3,1
1,0,13,12,3,1,0,3,1,1,1
0,0,4,15,3,1,1,1,3,0,0
1,1,2,5,1,1,0,1,3,4,0
1,0,6,14,4,1,0,2,2,3,1
NA,NA,7,1,1,1,1,6,2,3,0
1,0,8,20,3,0,0,3,1,3,1
0,0,8,26,3,0,0,4,0,2,1
NA,NA,8,3,2,0,0,6,2,4,1
1,1,8,1,5,1,0,6,2,4,1
